Id,Nombre,Nombre2,ApellidoPaterno,ApellidoMaternos,NombreCompleto,Militancia
1008,Florcita,,Alarcón,Rojas,Florcita Alarcón Rojas,IND
1009,Jorge,,Alessandri,Vergara,Jorge Alessandri Vergara,
803,René,,Alinco,Bustos,René Alinco Bustos,PPD
1010,Sebastián,,Álvarez,Ramírez,Sebastián Álvarez Ramírez,
968,Jenny,,Álvarez,Vera,Jenny Álvarez Vera,PS
923,Pedro Pablo,,Alvarez-Salamanca,Ramírez,Pedro Pablo Alvarez-Salamanca Ramírez,UDI
1011,Sandra,,Amar,Mancilla,Sandra Amar Mancilla,IND
810,Gabriel,,Ascencio,Mansilla,Gabriel Ascencio Mansilla,DC
925,Pepe,,Auth,Stewart,Pepe Auth Stewart,PPD
926,Nino,,Baltolu,Rasera,Nino Baltolu Rasera,UDI
1012,Boris,,Barrera,Moreno,Boris Barrera Moreno,
811,Ramón,,Barros,Montero,Ramón Barros Montero,UDI
970,Jaime,,Bellolio,Avaria,Jaime Bellolio Avaria,UDI
971,Bernardo,,Berger,Fett,Bernardo Berger Fett,RN
1013,Alejandro,,Bernales,Maldonado,Alejandro Bernales Maldonado,
1014,Karim,,Bianchi,Retamales,Karim Bianchi Retamales,
815,Sergio,,Bobadilla,Muñoz,Sergio Bobadilla Muñoz,UDI
972,Gabriel,,Boric,Font,Gabriel Boric Font,IND
1015,Jorge,,Brito,Hasbún,Jorge Brito Hasbún,
1016,Miguel Ángel,,Calisto,Águila,Miguel Ángel Calisto Águila,
973,Karol,,Cariola,Oliva,Karol Cariola Oliva,PC
1017,Álvaro,,Carter,Fernández,Álvaro Carter Fernández,IND
974,Loreto,,Carvajal,Ambiado,Loreto Carvajal Ambiado,PPD
1018,Natalia,,Castillo,Muñoz,Natalia Castillo Muñoz,IND
1019,José Miguel,,Castro,Bascuñán,José Miguel Castro Bascuñán,
931,Juan Luis,,Castro,González,Juan Luis Castro González,PS
1020,Ricardo,,Celis,Araya,Ricardo Celis Araya,
1021,Andrés,,Celis,Montt,Andrés Celis Montt,
975,Daniella,,Cicardini,Milla,Daniella Cicardini Milla,PS
1022,Sofía,,Cid,Versalovic,Sofía Cid Versalovic,
976,Juan Antonio,,Coloma,Álamos,Juan Antonio Coloma Álamos,UDI
1023,Miguel,,Crispi,Serrano,Miguel Crispi Serrano,
1024,Luciano,,Cruz-Coke,Carvallo,Luciano Cruz-Coke Carvallo,
1025,Catalina,,Del Real,Mihovilovic,Catalina Del Real Mihovilovic,
