Id,Descripcion,Fecha,TotalSi,TotalNo,TotalAbstencion,TotalDispensado,Quorum,Resultado,Tipo,TipoCode,ResultadoCode,QuorumCode
30048,Boletín N° 12130-05,2018-11-15,62,30,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30049,Boletín N° 12130-05,2018-11-15,57,35,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30050,Boletín N° 12130-05,2018-11-15,49,39,2,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30051,Boletín N° 12130-05,2018-11-15,90,0,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30052,Boletín N° 12130-05,2018-11-15,90,1,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30053,Boletín N° 12130-05,2018-11-15,45,45,1,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
30054,Boletín N° 12130-05,2018-11-15,54,39,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30055,Boletín N° 12130-05,2018-11-15,93,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30056,Boletín N° 12130-05,2018-11-15,92,3,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30057,Boletín N° 12130-05,2018-11-15,94,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30058,Boletín N° 12130-05,2018-11-15,88,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30059,Boletín N° 12130-05,2018-11-15,92,3,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30060,Boletín N° 12130-05,2018-11-15,88,6,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30061,Boletín N° 12130-05,2018-11-15,88,3,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30062,Boletín N° 12130-05,2018-11-15,95,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30063,Boletín N° 12130-05,2018-11-15,88,1,6,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30064,Boletín N° 12130-05,2018-11-15,69,26,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30065,Boletín N° 12130-05,2018-11-15,51,42,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30066,Boletín N° 12130-05,2018-11-15,57,36,2,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30067,Boletín N° 12130-05,2018-11-15,86,1,8,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30068,Boletín N° 12130-05,2018-11-15,93,3,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30069,Boletín N° 12130-05,2018-11-15,84,3,7,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30070,Boletín N° 12130-05,2018-11-15,86,3,7,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30071,Boletín N° 12130-05,2018-11-15,90,4,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30072,Boletín N° 12130-05,2018-11-16,93,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30073,Boletín N° 12130-05,2018-11-16,95,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30074,Boletín N° 12130-05,2018-11-16,88,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30075,Boletín N° 12130-05,2018-11-16,48,45,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30076,Boletín N° 12130-05,2018-11-16,50,44,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30077,Boletín N° 12130-05,2018-11-16,50,42,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30078,Boletín N° 12130-05,2018-11-16,93,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30079,Boletín N° 12130-05,2018-11-16,47,46,1,0,Quórum Simple,Unánime,Proyecto de Ley,1,2,1
30080,Boletín N° 12130-05,2018-11-16,49,42,3,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30081,Boletín N° 12130-05,2018-11-16,93,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30082,Boletín N° 12130-05,2018-11-16,90,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30083,Boletín N° 12130-05,2018-11-16,87,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30084,Boletín N° 12130-05,2018-11-16,91,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30085,Boletín N° 12130-05,2018-11-16,71,21,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30086,Boletín N° 12130-05,2018-11-16,92,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30087,Boletín N° 12130-05,2018-11-16,85,2,4,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30088,Boletín N° 12130-05,2018-11-16,89,1,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30089,Boletín N° 12130-05,2018-11-16,91,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30090,Boletín N° 12130-05,2018-11-16,60,32,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30091,Boletín N° 12130-05,2018-11-16,50,40,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30092,Boletín N° 12130-05,2018-11-16,89,0,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30093,Boletín N° 12130-05,2018-11-16,70,21,0,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30094,Boletín N° 12130-05,2018-11-16,50,41,1,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
30095,Boletín N° 12130-05,2018-11-16,47,43,2,0,Quórum Simple,Aprobado,Proyecto de Ley,1,1,1
